country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","10-03-2025 17:00:00",16.5150833,80.5181667,CO,6,92,33
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","10-03-2025 17:00:00",14.675886,77.593027,SO2,10,16,12
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","10-03-2025 17:00:00",13.204880,79.097889,PM2.5,24,152,78
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","10-03-2025 17:00:00",13.204880,79.097889,NO2,7,18,15
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","10-03-2025 17:00:00",14.465052,78.824187,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","10-03-2025 17:00:00",14.465052,78.824187,PM10,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","10-03-2025 17:00:00",27.103358,93.679645,NO2,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","10-03-2025 17:00:00",27.103358,93.679645,SO2,NA,NA,NA
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","10-03-2025 17:00:00",26.071318,91.87488,NH3,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","10-03-2025 17:00:00",16.536107,80.594233,PM10,51,77,58
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","10-03-2025 17:00:00",16.486692,80.699436,NH3,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","10-03-2025 17:00:00",16.486692,80.699436,SO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","10-03-2025 17:00:00",16.509717,80.612222,NH3,2,6,4
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","10-03-2025 17:00:00",16.554731,80.649110,PM10,45,59,51
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","10-03-2025 17:00:00",11.654054,92.734055,PM2.5,1,58,20
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","10-03-2025 17:00:00",11.654054,92.734055,PM10,25,59,39
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","10-03-2025 17:00:00",11.654054,92.734055,OZONE,5,94,39
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","10-03-2025 17:00:00",17.72,83.3,NO2,15,54,35
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","10-03-2025 17:00:00",17.72,83.3,SO2,6,13,10
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","10-03-2025 17:00:00",26.071318,91.87488,CO,34,66,50
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","10-03-2025 17:00:00",13.615387,79.409230,NO2,NA,NA,NA
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","10-03-2025 17:00:00",26.10887,91.589544,NO2,19,24,21
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","10-03-2025 17:00:00",26.10887,91.589544,OZONE,14,17,16
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","10-03-2025 17:00:00",26.187500,91.744194,NO2,1,12,4
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","10-03-2025 17:00:00",26.187500,91.744194,CO,24,75,33
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","10-03-2025 17:00:00",26.181742,91.78063,CO,32,108,38
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","10-03-2025 17:00:00",26.349082,92.68449,PM2.5,43,170,88
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","10-03-2025 17:00:00",26.349082,92.68449,PM10,48,131,89
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","10-03-2025 17:00:00",26.349082,92.68449,NH3,4,4,4
India,Bihar,Munger,"Town Hall, Munger - BSPCB","10-03-2025 17:00:00",25.376776,86.471523,OZONE,6,17,11
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","10-03-2025 17:00:00",26.11442,85.39813,NO2,5,20,13
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","10-03-2025 17:00:00",26.11442,85.39813,NH3,7,13,11
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","10-03-2025 17:00:00",26.1403345,85.3650192,NH3,2,3,2
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","10-03-2025 17:00:00",26.1403345,85.3650192,SO2,5,8,8
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","10-03-2025 17:00:00",26.1209,85.3647,SO2,4,10,5
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","10-03-2025 17:00:00",25.586562,85.043586,SO2,3,7,5
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","10-03-2025 17:00:00",25.42742023,86.13886079,CO,36,64,49
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","10-03-2025 17:00:00",25.42742023,86.13886079,OZONE,2,6,3
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","10-03-2025 17:00:00",25.251013,86.989001,PM10,NA,NA,NA
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","10-03-2025 17:00:00",25.251013,86.989001,NH3,NA,NA,NA
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","10-03-2025 17:00:00",25.265194,87.012947,PM2.5,NA,NA,NA
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","10-03-2025 17:00:00",26.446912,91.439057,NO2,8,58,24
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","10-03-2025 17:00:00",26.446912,91.439057,CO,8,40,24
India,Assam,Silchar,"Tarapur, Silchar - PCBA","10-03-2025 17:00:00",24.82827,92.79525,SO2,5,19,9
India,Assam,Silchar,"Tarapur, Silchar - PCBA","10-03-2025 17:00:00",24.82827,92.79525,CO,20,37,23
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","10-03-2025 17:00:00",26.987634,94.636574,PM10,40,94,69
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","10-03-2025 17:00:00",26.0881305,87.93840336,NH3,10,13,11
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","10-03-2025 17:00:00",27.308328,84.531742,CO,24,107,76
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","10-03-2025 17:00:00",26.63086,84.90051,PM2.5,13,277,132
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","10-03-2025 17:00:00",26.63086,84.90051,PM10,58,185,117
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","10-03-2025 17:00:00",25.567520,83.966379,PM10,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","10-03-2025 17:00:00",25.567520,83.966379,NH3,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","10-03-2025 17:00:00",24.7955,84.9994,SO2,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","10-03-2025 17:00:00",24.792403,84.992416,NO2,3,7,5
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","10-03-2025 17:00:00",24.792403,84.992416,SO2,15,17,16
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","10-03-2025 17:00:00",25.5626095,84.663264,PM2.5,18,170,90
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","10-03-2025 17:00:00",25.5626095,84.663264,NO2,5,9,7
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","10-03-2025 17:00:00",24.75746,84.366208,PM2.5,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","10-03-2025 17:00:00",24.792403,84.992416,CO,8,78,31
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","10-03-2025 17:00:00",25.586562,85.043586,CO,38,96,53
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","10-03-2025 17:00:00",25.592539,85.227158,PM10,113,368,202
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","10-03-2025 17:00:00",25.592539,85.227158,NO2,6,11,8
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","10-03-2025 17:00:00",25.592539,85.227158,SO2,5,9,7
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","10-03-2025 17:00:00",25.592539,85.227158,OZONE,16,33,26
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","10-03-2025 17:00:00",25.610369,85.132568,SO2,4,9,7
